	user_id	item	type	unix_time	list_len
0	A2NQ50LAQCKXPR	0136627501,B001Q4YDM0,B0013C6YU4,B0013C6YU4,B004YAFFKC,B0002Y0QXA,B0055XD7SE,B003DZ35GK,B0043RHZPY,1451673779,0099513137,0316098329,0439806119,B001KZ24NU,0312364423,0141321318,0141378247,0375969020,0451419707,0613237528,0297859382,0739082965,B0001YNLLK,1616550414,B0032AMW3S,B000BJ7WHE,B00BUWQ14G,B00695TB5A,B005JAH3TC,B001Z5SYDE,B0007D4MVI,B00FB1W9BG,B007CNY7DE,B007O28K8Q,481088449X,B00DYRY3EA,B00CHJIA8G,B00BNRX5Z6,B00J9PVHLI,B00C86LTS6,B005XLTGRE,B00CN4TDKE,B00C65YLWA,B00IZC7EOK,B008G29DWK,B005M651M4,B00DPETTPU,B007B8ED3Y,B004W8CN7Y,B00NAVJMY6,B007H48V5S,B00SHYGKZK,B00PZCGO8A,B00SV5TNR2,1607747227,B00KT8T4UA,B0149DB250,B004FA8JJK,B0135IJ6YO,B00EP8ZLVG,B00OX8ZC9O,B01EC562R8,B010AAIY5W,B018MBKWL0	Books,Toys_and_Games,Toys_and_Games,Toys_and_Games,Clothing_Shoes_and_Jewelry,Toys_and_Games,Video_Games,Toys_and_Games,Clothing_Shoes_and_Jewelry,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Books,Toys_and_Games,Books,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Toys_and_Games,Clothing_Shoes_and_Jewelry,Video_Games,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Books,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Books,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry	1293408000,1308182400,1323993600,1323993600,1323993600,1328400000,1328400000,1342656000,1342656000,1342656000,1342656000,1342915200,1342915200,1342915200,1342915200,1349913600,1349913600,1349913600,1349913600,1351987200,1355097600,1368144000,1368144000,1368144000,1384387200,1384387200,1388966400,1388966400,1388966400,1388966400,1388966400,1394668800,1394668800,1394668800,1394668800,1414800000,1422662400,1422662400,1422662400,1422662400,1422662400,1422662400,1422662400,1433289600,1433289600,1433289600,1451433600,1451433600,1451433600,1451433600,1451433600,1451433600,1451433600,1451433600,1461456000,1487980800,1487980800,1487980800,1487980800,1487980800,1487980800,1487980800,1487980800,1487980800	64
1	A1YURCSJHDUO5N	0439651387,0439651379,0439651360,B001US4G9M,B005S2K03W,037586511X,1400067758,B000RMSEU4,B000OF3J7C,B000BJ7WHE,B0051DT7AU,B001EX7GM2,B007GFFGFQ,B007GE7PBA,B006OMM8RG,0307931498,B007SYGR08,B000UBUW7K,B001BSHZQM,0312379064,0141378247,0874478529,1442402725,0375969020,0545320704,B003JGZ80Y,0142421847,B00CD90R4K,B00DZJFTLI,0007420412,B00GFYV0D6,0007420412,B00LUHPJTO,0143125478,B00LHO3F1Y,B001XUPG8M,B00ISUQJ86,1401685951,B0073U6WZC,0062092898,038568231X,B000HGIDSI,0307914429,B002ZL1Y4I,159471018X,B000EJEOX6,B00BRCFH5I,160433536X,B003JMETRG,B00CI0H02G,B00OO3MRRS,B007EA4UBY,B00WDR5R3I,1503950778,B0149QTY7A,B018L9R88S,0451419928,B016HL8UR0	Books,Books,Books,Toys_and_Games,Toys_and_Games,Books,Books,Video_Games,Sports_and_Outdoors,Sports_and_Outdoors,Toys_and_Games,Sports_and_Outdoors,Toys_and_Games,Toys_and_Games,Toys_and_Games,Books,Clothing_Shoes_and_Jewelry,Toys_and_Games,Toys_and_Games,Books,Books,Books,Books,Books,Books,Clothing_Shoes_and_Jewelry,Books,Video_Games,Clothing_Shoes_and_Jewelry,Books,Clothing_Shoes_and_Jewelry,Books,Toys_and_Games,Books,Clothing_Shoes_and_Jewelry,Toys_and_Games,Clothing_Shoes_and_Jewelry,Books,Toys_and_Games,Books,Books,Sports_and_Outdoors,Books,Toys_and_Games,Books,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Books,Toys_and_Games,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Toys_and_Games,Sports_and_Outdoors,Books,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Books,Clothing_Shoes_and_Jewelry	1123459200,1123459200,1123459200,1293494400,1293494400,1302912000,1335052800,1356739200,1356739200,1356739200,1356739200,1356739200,1356825600,1356825600,1356825600,1356825600,1356825600,1371427200,1379203200,1379203200,1382745600,1382745600,1382745600,1382745600,1382745600,1382745600,1382745600,1394064000,1395446400,1395446400,1401062400,1401062400,1406678400,1414454400,1415750400,1420848000,1420848000,1425945600,1430006400,1430006400,1430006400,1430006400,1443398400,1443398400,1446076800,1447718400,1451174400,1451174400,1451174400,1451174400,1451174400,1451174400,1451606400,1456531200,1480636800,1480636800,1480636800,1523750400	58
2	A26IHQ4003T93Z	B000BBU0KS,B005OSFUZI,B004U7GPXA,B0026IXR54,B013TRXXD6,1608879070,B004U5R5BI,B000RYVGPC	Toys_and_Games,Video_Games,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Toys_and_Games,Books,Toys_and_Games,Sports_and_Outdoors	1389052800,1389052800,1397692800,1496793600,1496793600,1496793600,1496793600,1496793600	8
3	A2BI9LDIQH3AFE	B000QU946A,B0015DCMAM,B0015DCMAM,B0015E3H64,B0028N6VIC,1426301227,B001AZTT4M,B000MTWTKI,B000XEEQAI,B000XEEQAI,B004194LF6,B0055BXELG,B00I0QJ20A,B00C0PIRAS,B00IKUTK9E,B000V0EPUA,B00K6M9LHK,B00FEVPGE0,B007AK1L9W,B00C4Z467W,B00QB1XM6G,B00NAK1LSM,B00HCC3538,B00XLCO2HQ,B017SH8GBW,B005SZCDVG,B014GMZF20	Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Toys_and_Games,Clothing_Shoes_and_Jewelry,Books,Video_Games,Toys_and_Games,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry	1205798400,1209254400,1209254400,1233360000,1261353600,1266364800,1273622400,1273622400,1302652800,1302652800,1321315200,1323043200,1410480000,1410480000,1426291200,1426291200,1444694400,1448928000,1448928000,1448928000,1448928000,1448928000,1462320000,1470182400,1505088000,1509408000,1522281600	27
4	A2FB7YMDZA77UL	B00CSI5BN8,B00UZZDIW2,0545787831,1338042807,B01ET6JKCO,B00WZM2LZ8,0375822658,0545855721,133804284X,B01CXQJ3OC,B00KJEEQNE,B00NYA99Q4	Clothing_Shoes_and_Jewelry,Video_Games,Books,Books,Sports_and_Outdoors,Toys_and_Games,Books,Books,Books,Video_Games,Toys_and_Games,Sports_and_Outdoors	1454284800,1502582400,1502582400,1502582400,1502582400,1502582400,1502582400,1502582400,1502582400,1502582400,1502582400,1530835200	12
5	A107AK1DXUSPTA	1416503420,B003JZCQV4,B002EE5RD0,B002AU0HZQ,B00AAOJ142,0609600583,B00YG0H0WG	Books,Clothing_Shoes_and_Jewelry,Video_Games,Video_Games,Toys_and_Games,Books,Sports_and_Outdoors	1137024000,1352332800,1354233600,1354406400,1407369600,1422576000,1466726400	7
6	A2SVIG8CTQRX53	B00J2OO5QK,0470579064,0615419178,B000FXVAYW,B002VBXL5M,B00G0OYHCW,B00BASA99S,0131908367,0465005438,0878339809,B00WHFYZ3E,B0193WPKI2	Sports_and_Outdoors,Books,Books,Sports_and_Outdoors,Toys_and_Games,Video_Games,Toys_and_Games,Books,Books,Books,Clothing_Shoes_and_Jewelry,Toys_and_Games	1379980800,1383696000,1389916800,1403827200,1403827200,1410998400,1410998400,1423699200,1426809600,1458172800,1485734400,1500076800	12
7	A3CP8DP7IIAPNX	B0007YR980,B0013F153W,0373443307,1852401087,1874367094,B001N3IQPE,1565842561,0060916702,B0084FE62Q,B006ZTHGCK,B0006DQ2IK,B00JLWNUR8,B00N4EYC8U,B00LNN1E4Y,B00OK5OC82,B017V08DGY,0030554179,B010S8FXUK,B00OFA162W,B00BWFKOTY,B00I8P2X9A,1520396074,B017RVSBJQ,B01HB9AF6G,B00YPMNXZ8	Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Books,Books,Books,Toys_and_Games,Books,Books,Toys_and_Games,Video_Games,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Books,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Toys_and_Games,Clothing_Shoes_and_Jewelry,Books,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry	1368230400,1368230400,1368230400,1368230400,1368230400,1368230400,1368230400,1368230400,1368230400,1388880000,1430352000,1430352000,1430352000,1457395200,1462147200,1462147200,1462147200,1462147200,1462147200,1462147200,1474848000,1484265600,1488153600,1491868800,1493164800	25
8	A18EKQEW0G23DT	0324322291,B0058EOAUE,B00ZGE9L00,B00BRDCRGO,B00VGR65YG,B00B81I7HI,B00OC6TQ3A,B00E8SM5XU,B00LCS09W8,B00EWK00FY,B0161DYW2Q,B0018AOUPC,B00TKXMCEK,B01BLDGQQ6,B010B7Q40G,B00UO1GLEO,B005CYVJ4U,B00XTZJ4R8,B003IJ6HFM,B01AVHDUBW,B00PPJSG4I	Books,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Toys_and_Games,Clothing_Shoes_and_Jewelry,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Toys_and_Games,Toys_and_Games,Video_Games,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Sports_and_Outdoors	1321488000,1321920000,1496966400,1496966400,1496966400,1496966400,1496966400,1496966400,1496966400,1496966400,1496966400,1496966400,1496966400,1498953600,1498953600,1498953600,1498953600,1498953600,1521676800,1521676800,1521676800	21
9	A1C5MOTX4KPPD8	B00JU6Z3M0,B008U2XEL2,B00B0FV4FE,B007BYEF5E,B009JM2Q1Q,B00B0FT1CW,B0134CORFE,B00B0ONNZO,B00GTY93VI,B00O9GW8VK,B006Z6Z7GK,B00RB926L4,B00ZPAHH9C,B002BFLJ70,0310708435,1433524724,B00K6ZURAW,B004CSC1WG,B0074SPXVC,B017HJ5IDK,B013PF1ZVY,B005P1JI3Y,B00O9PWGNG,B00R12NJOE,B004V3PS72,B017DEGQA8	Toys_and_Games,Video_Games,Toys_and_Games,Toys_and_Games,Clothing_Shoes_and_Jewelry,Toys_and_Games,Toys_and_Games,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Video_Games,Sports_and_Outdoors,Sports_and_Outdoors,Sports_and_Outdoors,Clothing_Shoes_and_Jewelry,Books,Books,Sports_and_Outdoors,Toys_and_Games,Toys_and_Games,Toys_and_Games,Video_Games,Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Toys_and_Games,Toys_and_Games,Toys_and_Games	1449100800,1449792000,1449792000,1449792000,1450051200,1450742400,1450742400,1452297600,1452297600,1452729600,1452902400,1452902400,1452902400,1456358400,1456358400,1458864000,1459382400,1469923200,1470355200,1474243200,1474502400,1474502400,1474502400,1474502400,1479081600,1514505600	26
