	item	cnt
0	0001048767	1
1	0001050230	1
2	0001384198	1
3	0001844423	1
4	0002171856	2
5	0002230860	1
6	0002247399	1
7	0002247437	2
8	0002259842	2
9	0006175015	1
10	0006176070	1
11	0006210171	1
12	0006476155	1
13	0006513255	1
14	0006530680	1
15	0006540279	1
16	0006545793	1
17	0006551807	1
18	0006895441	1
19	0007111517	1
20	000711835X	2
21	000712838X	1
22	0007141424	1
23	0007141882	1
24	0007147295	1
25	000715481X	1
26	0007155662	3
27	0007165870	1
28	0007173156	2
29	0007181604	1
30	0007182813	1
31	0007190301	1
32	0007196997	1
33	0007198019	1
34	0007204442	2
35	0007204493	1
36	0007207638	1
37	000720924X	1
38	0007224796	1
39	0007229674	1
40	0007230206	1
41	0007240198	1
42	0007247095	2
43	0007250878	1
44	0007256817	1
45	0007263902	1
46	0007265077	1
47	0007267053	1
48	000726755X	2
49	0007271239	2
50	0007275528	1
51	0007286384	1
52	0007310250	1
53	0007327064	2
54	0007331681	1
55	0007337647	1
56	0007350783	2
57	0007350899	4
58	0007351054	1
59	0007353588	1
60	0007367473	1
61	0007368658	1
62	0007384289	1
63	0007420412	10
64	0007433298	1
65	0007441282	1
66	0007444117	3
67	0007447868	2
68	0007450664	1
69	0007452985	1
70	0007466692	1
71	0007466706	1
72	0007466714	1
73	0007482876	1
74	0007489447	1
75	0007507097	1
76	0007508646	1
77	0007520158	1
78	0007521324	1
79	0007548672	2
80	0007555342	1
81	0007880294	1
82	0007902107	1
83	0008100993	1
84	0008105014	1
85	0008120668	1
86	0008160635	1
87	0008220565	1
88	0020346212	1
89	0023201606	1
90	0023529504	1
91	0023963700	1
92	0025853503	2
93	0026009102	1
94	0028180062	1
95	0028620607	1
96	002862615X	1
97	0028630238	1
98	0028638670	1
99	0029212952	1
100	0029273722	1
101	0030547741	1
102	0030554179	2
103	0030565073	2
104	0030624266	1
105	0030845742	2
106	0060000066	1
107	006000942X	1
108	006001203X	1
109	0060014210	1
110	0060094273	2
111	0060096438	1
112	0060099402	1
113	0060125314	1
114	0060153679	1
115	0060154063	1
116	0060171928	1
117	0060174900	1
118	0060179252	1
119	006018308X	1
120	0060193689	1
121	0060199520	1
122	0060209917	1
123	0060233370	1
124	0060241012	1
125	0060248122	1
126	0060252715	1
127	0060256672	1
128	0060266864	1
129	0060278684	1
130	0060283254	1
131	0060294698	1
132	0060298480	1
133	0060361204	1
134	0060393556	1
135	0060507047	1
136	0060511117	1
137	0060514051	1
138	0060528877	1
139	006052992X	1
140	0060539526	1
141	0060540915	1
142	0060548266	1
143	0060573821	1
144	0060584068	1
145	0060591854	1
146	0060595183	1
147	0060637102	1
148	0060740221	1
149	0060741252	1
150	0060755334	2
151	0060755784	1
152	0060757957	1
153	0060779241	1
154	0060785829	1
155	0060787031	1
156	0060833157	1
157	0060843519	1
158	0060852585	1
159	0060852739	1
160	0060873094	1
161	0060878061	1
162	0060890096	1
163	0060899220	2
164	0060916702	1
165	0060926112	1
166	0060950862	1
167	0060956976	1
168	006095955X	1
169	0060959843	1
170	0060974060	1
171	0060977213	1
172	0061001783	1
173	0061014230	1
174	0061042579	1
175	0061080780	1
176	0061085189	1
177	006109787X	1
178	0061131628	1
179	0061153702	1
180	0061176125	1
181	0061238783	1
182	0061238961	1
183	0061239216	1
184	006124189X	1
185	0061243582	1
186	0061351601	1
187	0061374342	1
188	0061441848	2
189	0061448982	1
190	0061451541	1
191	0061477931	1
192	0061558346	1
193	006156589X	1
194	0061577766	1
195	0061584452	1
196	0061624764	1
197	0061658197	3
198	0061689378	1
199	006168984X	1
200	0061689866	1
201	0061703567	1
202	0061714658	1
203	0061724882	1
204	0061726818	1
205	0061726834	1
206	0061730335	1
207	0061733636	1
208	0061735329	1
209	0061742678	1
210	0061771155	1
211	0061782297	1
212	0061869708	1
213	0061928178	1
214	0061928232	1
215	0061929883	1
216	0061939900	1
217	0061962163	1
218	006197806X	1
219	0061997188	1
220	0062009516	1
221	0062014544	2
222	0062015761	1
223	0062020579	1
224	0062030310	1
225	0062049801	1
226	0062060627	1
227	0062063464	1
228	0062066315	1
229	0062067966	1
230	0062072048	1
231	0062072072	1
232	0062072099	1
233	0062075500	1
234	0062075519	1
235	0062084232	1
236	0062084275	1
237	0062085506	2
238	0062085530	1
239	0062086030	1
240	0062086553	1
241	0062090364	1
242	0062092847	1
243	0062092898	1
244	0062103377	1
245	0062107828	1
246	0062110675	1
247	0062110705	1
248	0062116517	1
249	0062118781	1
250	006219206X	1
251	0062202618	1
252	0062205579	1
253	006221019X	1
254	0062216384	1
255	0062224107	1
256	0062224743	1
257	0062233092	1
258	0062241451	1
259	0062265423	1
260	006226835X	1
261	0062270044	1
262	0062270486	1
263	006227113X	1
264	006227306X	1
265	0062277022	1
266	0062279238	1
267	0062280678	1
268	0062281348	1
269	0062281364	1
270	0062290118	1
271	0062292064	1
272	0062292862	1
273	0062297376	1
274	0062302418	1
275	0062306812	1
276	0062311840	1
277	0062317601	1
278	0062320084	1
279	0062320165	1
280	0062325388	1
281	006232764X	1
282	0062330268	1
283	0062330373	1
284	0062330594	1
285	0062332090	1
286	0062334395	1
287	0062351869	1
288	0062355783	1
289	0062357980	1
290	0062363085	1
291	0062366718	1
292	0062382012	1
293	0062386972	1
294	0062389653	1
295	0062398903	1
296	0062403168	1
297	0062409883	1
298	0062416324	1
299	0062416340	1
300	0062416367	1
301	0062419153	1
302	0062444131	1
303	0062454943	1
304	0062457713	1
305	0062469746	1
306	0062476785	1
307	0062506137	1
308	0062506358	1
309	0062507540	1
310	006264114X	1
311	0062736345	1
312	0064401308	1
313	0064431274	2
314	0070131430	1
315	0070389780	1
316	0070653151	1
317	0071270353	1
318	0071280413	1
319	0071284710	1
320	007128947X	1
321	0071318585	1
322	0071385290	1
323	0071435395	1
324	0071443355	1
325	0071456287	1
326	0071477268	1
327	0071492399	1
328	0071736972	1
329	0071743820	1
330	0071744223	1
331	0071756159	1
332	0071766499	1
333	0071770526	1
334	0071784225	1
335	0071805427	1
336	007181678X	1
337	0071827781	1
338	0072226811	1
339	0072410663	1
340	0072448091	1
341	007282896X	1
342	0073048100	1
343	0073193518	1
344	0073383945	1
345	0073406791	1
346	0077409930	1
347	0077861809	1
348	0078026741	1
349	0078203759	2
350	0080466176	1
351	0080890520	1
352	008097063X	1
353	0080971741	1
354	0091857023	1
355	0091906814	1
356	0091929121	1
357	0091955106	3
358	0099262215	1
359	0099288478	1
360	0099406136	1
361	009941077X	1
362	0099416158	2
363	0099416379	1
364	0099429799	1
365	0099441489	1
366	0099441497	1
367	0099445549	1
368	0099451956	1
369	0099456761	1
370	0099462230	1
371	0099464462	1
372	0099466295	1
373	0099471442	1
374	0099493748	1
375	0099503204	1
376	0099506130	1
377	0099513137	2
378	0099519232	1
379	0099537265	1
380	0099550067	1
381	0099553481	1
382	0099563339	1
383	0099579936	1
384	009959093X	1
385	0099619105	2
386	0099664313	1
387	0099727404	1
388	0099740915	1
389	0099766817	1
390	0099911701	5
391	0099916401	1
392	0120000156	2
393	0123742250	1
394	0123743702	1
395	0123745381	1
396	0123746396	1
397	0123747163	2
398	0123748569	1
399	0123749131	1
400	0123749646	1
401	0123814723	1
402	0123838487	1
403	012383872X	1
404	0123849233	1
405	0123849888	1
406	0123850592	1
407	0123855489	1
408	0123860016	1
409	0130255181	1
410	0130262781	1
411	013028484X	1
412	0130408646	1
413	0130466182	1
414	0130625698	1
415	0130874892	1
416	0130881899	1
417	0130953075	1
418	0130984620	1
419	0131101633	1
420	0131175912	1
421	0131385569	1
422	0131404121	1
423	0131478230	1
424	0131483986	1
425	013149418X	1
426	0131566105	1
427	0131569872	1
428	0131706845	1
429	0131715100	1
430	0131835572	2
431	0131908367	1
432	0132181630	1
433	0132193531	1
434	0132366789	1
435	0132374560	1
436	0132761610	1
437	0132849186	1
438	0133097307	1
439	0133128083	1
440	013325139X	1
441	0133856887	1
442	0133892697	1
443	0133929191	1
444	0133943038	1
445	0134017226	1
446	0134033175	1
447	0134177304	1
448	013417805X	1
449	0134190440	1
450	0134374940	1
451	0134601548	1
452	013502529X	1
453	0136053580	1
454	0136079474	1
455	013610469X	1
456	0136627501	1
457	013701127X	1
458	0137015453	1
459	0139259171	1
460	0140008330	1
461	0140009930	1
462	0140012486	2
463	0140022651	1
464	0140033467	1
465	0140035664	1
466	0140047042	1
467	0140053204	1
468	0140089543	1
469	0140108955	1
470	0140143491	1
471	014014773X	1
472	0140174397	1
473	0140181547	1
474	0140194614	1
475	0140195963	1
476	0140209158	1
477	0140250360	1
478	0140250964	1
479	0140277633	2
480	0140283331	1
481	0140283587	1
482	0140302689	1
483	0140309578	2
484	0140320970	1
485	0140324623	1
486	0140366679	1
487	0140367713	1
488	0140389660	1
489	0140390057	2
490	0140390197	1
491	0140431330	1
492	014043206X	1
493	0140434186	4
494	0140434968	1
495	014043531X	1
496	0140437681	2
497	0140440275	1
498	0140440410	1
499	0140441409	2
500	0140441468	1
501	0140449108	1
502	0140461191	2
503	0140501738	1
504	0140502343	2
505	0140502416	1
506	0140569324	1
507	0140861750	3
508	0140863796	1
509	0141001976	1
510	0141018410	1
511	0141026065	1
512	0141026715	1
513	0141031387	1
514	0141034262	2
515	0141036249	1
516	0141039280	1
517	0141043091	1
518	0141046309	1
519	0141192496	4
520	0141321318	1
521	0141328290	2
522	0141331976	4
523	0141333057	1
524	0141339578	1
525	014134010X	1
526	0141342420	1
527	0141345810	1
528	014134587X	1
529	0141348623	1
530	0141353678	4
531	0141354224	3
532	0141354771	1
533	0141357037	1
534	0141361794	1
535	0141378247	3
536	0141379022	2
537	0141976144	1
538	0142001740	1
539	0142003247	1
540	0142003646	1
541	0142180823	1
542	014219669X	1
543	0142196967	1
544	0142300675	1
545	0142410977	1
546	0142412422	1
547	0142412961	1
548	0142417750	1
549	0142417807	1
550	0142421847	1
551	0142422886	1
552	0142422940	1
553	014242370X	1
554	0142423912	1
555	0142424242	1
556	0142424935	1
557	0142425001	2
558	0142425761	1
559	0142427810	1
560	0142427993	1
561	0142428736	1
562	0142428949	1
563	0142429279	1
564	0142429333	1
565	0142429341	1
566	0142800376	1
567	0143036068	1
568	0143051970	1
569	0143057588	1
570	0143058045	1
571	0143058703	1
572	0143105531	1
573	014310585X	1
574	0143108581	1
575	014310974X	1
576	0143113100	1
577	0143114956	1
578	0143117483	1
579	014311767X	1
580	0143118064	1
581	0143119486	1
582	0143121049	1
583	0143122916	1
584	0143125478	2
585	0143125842	1
586	0143128094	1
587	0143130609	1
588	0143142372	1
589	0143142461	1
590	0143142925	1
591	0143144316	1
592	0143144367	1
593	0143144510	1
594	0143144804	1
595	0143145304	1
596	0143145401	1
597	0143145444	1
598	0143170090	1
599	0143170104	1
600	0143418246	1
601	0143782797	1
602	0147508606	1
603	0147510724	1
604	0147513073	1
605	0147513650	1
606	0147514037	1
607	0147519322	1
608	0147520142	1
609	0147520223	1
610	014752069X	1
611	0147520835	1
612	014752640X	1
613	0151001634	1
614	0151003378	1
615	0151005613	1
616	0151006849	1
617	0151014736	1
618	0151015392	2
619	0152002847	1
620	0152024883	1
621	0152051708	1
622	0152065709	1
623	0153134089	1
624	0153524855	1
625	0156300001	1
626	0156612062	1
627	0190460857	1
628	0190631392	1
629	0190679638	1
630	0192831992	1
631	0192838970	1
632	0194343561	1
633	0195077482	1
634	0195112105	1
635	0195134583	1
636	019517559X	1
637	0195212053	1
638	019521207X	1
639	0195212096	1
640	0195215508	1
641	0195297784	1
642	0199349436	1
643	020140964X	1
644	0201696959	1
645	0201710188	1
646	0201774712	1
647	0205223044	1
648	0205668712	1
649	0205738826	1
650	0205786367	1
651	0208022589	1
652	0224095374	1
653	0230017789	1
654	0230101488	1
655	023060255X	1
656	0230741894	1
657	0230743323	1
658	0230754929	1
659	0230755062	1
660	023399100X	1
661	0240520491	1
662	0240810201	1
663	0240811283	1
664	0240817664	1
665	024081813X	1
666	0240823915	1
667	0241024714	1
668	0241255163	1
669	0241351642	1
670	0241965098	1
671	0253207770	1
672	0263873668	1
673	0276001826	1
674	0276441958	1
675	0297643797	1
676	0297833936	1
677	0297844490	1
678	0297851527	1
679	0297859382	4
680	0297867288	1
681	0297870920	2
682	0300110146	1
683	0304356174	1
684	030493805X	1
685	0306921464	1
686	0307010856	2
687	0307021343	1
688	0307021408	1
689	0307103366	2
690	0307118398	1
691	0307119424	1
692	0307130819	1
693	0307136612	1
694	0307243273	1
695	0307245934	1
696	0307265439	1
697	0307265730	1
698	0307269868	1
699	0307270742	1
700	0307273563	1
701	0307275566	1
702	0307275825	1
703	0307275833	1
704	0307277690	1
705	0307277747	1
706	0307279936	1
707	0307280721	1
708	0307282961	1
709	0307292215	1
710	0307336794	1
711	0307338401	1
712	0307341445	1
713	0307341577	2
714	0307345742	1
715	0307346609	1
716	0307347990	1
717	0307356361	1
718	0307356396	1
719	030737792X	1
720	0307378217	1
721	0307381374	1
722	0307387801	1
723	030739400X	2
724	0307394549	1
725	0307409465	1
726	0307440087	1
727	0307455475	1
728	0307460185	1
729	0307462730	1
730	0307473759	1
731	0307474712	1
732	0307582884	4
733	0307587320	1
734	0307588688	1
735	030759081X	1
736	0307591808	1
737	0307595129	1
738	0307700003	1
739	030770193X	1
740	0307706591	1
741	0307711544	1
742	0307712842	1
743	0307713547	1
744	0307718972	1
745	0307719936	1
746	0307725111	1
747	0307730697	1
748	0307732061	1
749	0307735036	1
750	0307743675	1
751	0307746046	1
752	0307746216	1
753	030774681X	1
754	030774941X	1
755	0307749495	1
756	0307749606	1
757	0307749649	3
758	0307750833	1
759	0307876705	1
760	0307877183	2
761	0307877884	1
762	0307886158	1
763	030788743X	1
764	0307888177	1
765	0307889165	1
766	0307895467	1
767	030790721X	1
768	0307914429	1
769	0307916405	1
770	0307929248	1
771	0307931498	1
772	0307932273	1
773	0307943232	1
774	0307944859	1
775	0307948196	1
776	0307948765	1
777	0307949702	1
778	0307950476	1
779	0307951979	1
780	0307960374	1
781	0307966666	2
782	0307967077	1
783	0307969703	1
784	0307977617	1
785	0307980707	1
786	0307980901	1
787	0307981088	1
788	0307985954	1
789	0307986985	1
790	0307987647	1
791	0307988708	1
792	030799063X	2
793	0307990796	2
794	0310080576	1
795	031008475X	1
796	0310085861	1
797	0310235324	1
798	0310276357	1
799	0310280958	1
800	0310313546	1
801	0310321913	2
802	0310431581	1
803	0310431603	1
804	0310444691	1
805	0310445574	2
806	0310445620	1
807	0310607612	1
808	0310678994	1
809	0310705452	1
810	0310708435	1
811	0310712556	1
812	0310719844	1
813	0310721083	1
814	0310751020	1
815	0310758769	1
816	0312117337	1
817	0312135335	1
818	0312142706	1
819	0312145462	2
820	031214699X	1
821	0312147562	1
822	0312169787	1
823	0312193548	1
824	0312205511	1
825	0312244266	1
